Country,Summary.of.the.I.NDC,country_code,size,year,old_year,Type,ratio,
Mozambique,A 23 million tonnes of CO2 equivalent cut in emissions from 2020-2024 and 53.4MtCO2e from 2025-2030. Baseline not specified. The pledge is conditional on international support. Includes section on adaptation.,MOZ,,2030,,,,
Myanmar,"Presents a series of sectoral goals including to increase hydropower capacity to 9.4 gigawatts by 2030, to achieve rural electrification based on at least 30% renewable sources and to increase the forested area to 30% by 2030. Efforts to calculate and present a reliable estimate of current emissions are part of the pledge. Includes section on adaptation.",MMR,,2030,,,,
Namibia,"An unconditional 8.9% emissions cut in 2030, compared to business as usual, or an 89% cut with international support. Most of the reduction would be achieved by reducing projected deforestation rates by 75%. Aims to increase share of renewables in electricity from 33 to 70%. Total estimated cost of $33bn. Includes section on adaptation.",NAM,13,2030,2010,Intensity,,
Nauru,A conditional commitment to spend $50m on a solar power system and demand management to reduce emissions. An additional unconditional commitment to spent $5m on a smaller 0.6MW solar system. Also includes sections on adaptation and loss and damage.,NRU,,2030,,,,
Nepal,"By 2050, to reduce fossil fuel dependency by 50%. Includes sectoral targets such as increasing hydro capacity to 12 gigawatts and solar to 2GW by 2030. Requires financial support.",NPL,,2030,,,,
New Zealand,"Emissions will be reduced by 50 per cent below gross 2005 levels by 2030, which corresponds to a 41 per cent reduction when managed using a multi-year emissions budget. ",NZL,50,2030,2005,Emission,,
Nicaragua,INDC not yet submitted,NIC,,2030,,,,
Niger,"An unconditional 3.5% reduction in emissions by 2030, compared to a business-as-usual scenario, or a 34.6% reduction by 2030 on the condition of international support. Contains section on adaptation.",NER,3.5,2030,2008,BAU,-159.3,
Nigeria,"An unconditional 20% reduction in emissions by 2030, compared to business-as-usual levels. This could increase to 47%, conditional on international support. Includes plans to end gas flaring and install 13 gigawatts of off-grid solar, as well as improving energy efficiency 30% by 2030. Includes section on adaptation.",NGA,20,2030,2015,Emission,,
Niue,"Commits to increase the share of renewables in its electricity generation to 38% by 2020, up from 2% in 2014. This will be partly delivered through a 10% reduction in electricity demand. Niue says it could increase this to 80%, or even higher, by 2025 on the condition of international support. Calls for loss and damage to be included as a separate element of the UN deal.",NIU,,2030,,,,
Norway," The updated NDC is to reduce emissions by at least 55 per cent by 2030, compared to 1990 levels.",NOR,55,2030,1990,Emission,,
Oman," The new target now aims for a 21% reduction from the Business-as-Usual Scenario in 2030 (7% committed, 14% conditional). ",OMN,21,2030,NA,BAU,NA,
Pakistan,Commits to peak and then reduce its emissions. Specific commitments will be made once "reliable data on our peak emissions levels is available". Includes paragraph on adaptation.,PAK,,2030,,,,
Palau,"Pledges to reduce energy sector emissions by 22% below 2005 levels by 2025, and has a renewable energy target of 45% and an energy efficiency target of 35% by 2025. If implemented, these would reduce emissions by 22% by 2025 on 2005 levels.",PLW,22,2025,2005,Emission,,
Panama,"An unconditional pledge to increase the share of renewables in the electricity mix to 15% by 2030 and 30% by 2050, from around 7% in 2010. An 80% increase in carbon storage in the land use and forestry sector, compared to business-as-usual projections and conditional on international support.",PAN,,2030,,,,
Papua New Guinea,"A shift to 100% renewable energy by 2030, conditional on international support. Largest potential contribution to mitigation would be through reduced deforestation. Includes section on adaptation.",PNG,,2030,,,,
Paraguay,"An unconditional 10% emissions cut by 2030, compared to business as usual projections, or a 20% cut conditional on international support. The higher ambition would represent a 60% increase on 2011 emissions. Includes section on adaptation.",PRY,10,2030,2011,Emission,,
Peru,"An unconditional 20% reduction in emissions by 2030, compared to business as usual. A 30% reduction is offered conditional on international funding. This would equate to a 22% increase compared to 2010 emissions. Includes section on adaptation. Also sets out Peru's position on the Paris agreement.",PER,20,2030,2010,Emission,,
Philippines,"The Philippines commits to a projected GHG emissions reduction and avoidance of 75%, of which 2.71% is unconditional 9 and 72.29% is conditional,10 representing the country’s ambition for GHG mitigation for the period 2020 to 2030",PHL,72.79,2030,2020,BAU,NA,
Qatar,"Focuses on actions that will bring about economic diversification that will also bring down emissions, though does not set a reduction target.",QAT,,2030,,,,
Russia,25-30% domestic reduction in greenhouse gases by 2030 compared to 1990 levels. The Russian pledge includes maximum possible account of the land sector. Carbon Brief has looked at the details.,RUS,30,2030,1990,Emission,,
Rwanda,"To deviate emissions from the business as usual path by 2030, conditional on international support. Preliminary pledge will be elaborated and re-submitted before Paris. Includes section on adaptation.",RWA,,2030,,,,
Saint Kitts and Nevis,"reducing economy-wide CO2 emissions by 61% by 2030, compared to the base year 2010,",KNA,61,2030,2010,Emission,,
Saint Lucia,"Commits to a 23% reduction in emissions by 2030 compared to a business-as-usual scenario, equating to emissions reductions of 188GgCO2e, with an interim target of a 16% reduction by 2023. This is conditional upon international support. Includes section on adaptation.",LCA,7.2,2030,2010,BAU,2.1,
Samoa,Samoa aims to reduce overall GHG emissions by 26 percent in 2030 compared to 2007 levels (or by 91 Gg CO2e compared to the new reference year4 once Samoa’s GHG emissions inventory has been updated).,WSM,26,2030,,Emission,,
San Marino,"A 20% reduction in emissions by 2030, compared to 2005 levels. Intend to achieve this domestically, though will use market mechanisms if necessary.",SMR,20,2030,2005,Emission,,
Sao Tome and Principe,"Lists a series of actions that it will take to reduce emissions below business as usual levels, conditional upon international support, though does not set a number of the level of reductions. Also requires support for adaptation.",STP,,2030,,,,
Saudi Arabia,"An ""ambitious"" programme of renewable energy investment and ""economic diversification"", along with energy efficiency and carbon capture and storage. Expects emissions savings of up to 130 million tonnes of CO2 equivalent in 2030, relative to business as usual. Includes section on adaptation.",SAU,,2030,,,,
Senegal,"An unconditional reduction in emissions of 5% by 2030, compared to business-as-usual levels, with interim targets of 3% by 2020 and 5% by 2025. Accompanied by a conditional target, subject to international financial support, of 7% by 2020, 15% by 2025 and 21% by 2030, compared to business-as-usual levels. Contains section on adaptation, as well as information on potential obstacles.",SEN,5,2030,2005,BAU,-169,
Serbia,"Increasing its ambition to the GHG emission reduction by 13.2% compared to 2010 level (i.e. 33,3% compared to 1990) by 2030",SRB,33.3,2030,1990,Emission,,
Seychelles,Seychelles is committed to reducing economy wide absolute Greenhouse Gas (GHG) emissions by 293.8 ktCO2e in 2030 (26.4%) compared to business as usual (BAU) scenario. ,SYC,26.4,2030,2010,Emission,,
Sierra Leone,"Pledges to keep emissions ﾒrelatively lowﾓ (close to 7.58MtCO2e) by 2035, or achieve neutrality by 2050, conditional upon international support. Also presents an intensity based reduction target of 25% and 35%, to be achieved in 2020-2030 and 2030-2050 respectively, compared to 1990 levels. Includes sections on adaptation and loss and damage.",SLE,25,2030,1990,Intensity,,
Singapore,"A 36% reduction in emission intensity by 2030, compared to 2005 levels, with emissions peaking around 2030. Singapore intends to achieve this without international market mechanisms, though will continue to study their potential. Contains information on adaptation activities.",SGP,36,2030,2005,Intensity,,
Somalia,"Outlines a number of projects relating to adaptation and mitigation, aimed at sustainable land management, water resource management, reducing risk from natural disasters, and sustainable charcoal production.",SOM,,2030,,,,
South Africa,"Takes a peak, plateau and decline (PPD) approach to emissions. Aims to peak between 2020 and 2025, plateau for roughly a decade and then start to fall. Emissions during 2025-2030 will be in the range 398-614 million tonnes of CO2 equivalent, including land and all sectors of the economy. Emissions were 461MtCO2e in 2000. Includes sections on adaptation and support needs.",ZAF,,2030,,Emission,,
South Korea,"The updated and enhanced target is to reduce total national GHG emissions by 40% from the 2018 level, which is 727.6 MtCO2eq, by 2030.",KOR,40,2030,2018,Emission,,
South Sudan,"Plans to increase use of clean and carbon-neutral energy, deploying them ""whenever possible"". Also aims to plant 20 million trees. Is developing a national adaptation plan. Conditional on international support, with estimated needs of $50bn to 2030.",SSD,,2030,,,,
